Frame                 Size      Luma    C_B     RedPx   Teal    Blue    Gold    BotR    BotC    WhtAnn  
day2_silver_0237.jpg  39603     22.7    21.4    94      84      2       0       11      5       80      
day2_silver_0238.jpg  39640     22.6    21.4    93      79      2       0       11      5       78      
day2_silver_0239.jpg  39813     22.6    21.2    106     86      2       0       11      5       78      
day2_silver_0240.jpg  39658     21.9    20.6    102     86      2       0       11      5       81      
day2_silver_0241.jpg  39558     22.8    21.5    92      81      1       0       11      5       80      
day2_silver_0242.jpg  39642     23.4    22.1    98      83      1       0       11      5       79      
day2_silver_0243.jpg  39646     23.4    22.1    97      83      1       0       11      5       79      
day2_silver_0244.jpg  39528     22.9    21.7    93      81      1       0       11      5       79      
day2_silver_0245.jpg  39707     21.9    20.6    99      84      1       0       11      5       81      
day2_silver_0246.jpg  39710     22.1    20.8    101     85      1       0       11      5       79      
day2_silver_0247.jpg  39533     22.1    20.8    91      85      1       0       11      5       78      
day2_silver_0248.jpg  39644     22.9    21.6    90      83      1       0       11      5       79      
day2_silver_0249.jpg  39539     21.9    20.6    103     88      2       0       10      4       80      
day2_silver_0250.jpg  39541     22.7    21.4    101     86      2       0       10      4       80      
day2_silver_0251.jpg  39567     22.7    21.4    101     86      2       0       10      4       80      
day2_silver_0252.jpg  39564     22.7    21.4    103     86      2       0       10      4       80      
day2_silver_0253.jpg  39459     22.1    20.7    102     86      3       0       10      4       81      
day2_silver_0254.jpg  39388     22.0    20.6    102     86      3       0       10      4       81      
day2_silver_0255.jpg  39564     21.9    20.5    103     85      3       0       10      4       81      
day2_silver_0256.jpg  39555     21.9    20.5    104     86      3       0       10      4       81      
day2_silver_0257.jpg  39531     22.9    21.6    102     85      3       0       10      4       81      
day2_silver_0258.jpg  39591     23.0    21.6    100     85      3       0       10      4       81      
day2_silver_0259.jpg  39661     22.0    20.7    82      86      2       0       10      4       79      
day2_silver_0260.jpg  39554     22.1    20.9    81      87      2       0       10      4       79      
day2_silver_0261.jpg  39537     22.1    20.9    79      87      2       0       10      4       79      
day2_silver_0262.jpg  39537     22.1    20.9    79      87      2       0       10      4       79      
day2_silver_0263.jpg  39550     22.1    20.9    79      87      2       0       10      4       79      
day2_silver_0264.jpg  39565     22.1    20.9    81      87      3       0       10      4       79      
day2_silver_0265.jpg  39580     22.1    20.8    81      88      2       0       10      4       79      
day2_silver_0266.jpg  40037     21.8    20.5    86      88      2       0       10      4       70      
day2_silver_0267.jpg  37886     21.9    20.6    92      88      2       0       10      4       70      
day2_silver_0268.jpg  37892     21.9    20.6    95      88      2       0       10      4       69      
day2_silver_0269.jpg  37896     21.9    20.6    95      88      2       0       10      4       69      
day2_silver_0270.jpg  37898     21.9    20.6    93      88      1       0       10      4       69      
day2_silver_0271.jpg  39917     23.2    21.8    106     86      1       0       10      4       78      
day2_silver_0272.jpg  39806     21.8    20.5    106     88      3       0       10      4       78      
day2_silver_0273.jpg  39655     22.0    20.8    97      89      3       0       10      4       80      
day2_silver_0274.jpg  39557     22.1    20.8    95      87      1       0       10      4       78      
day2_silver_0275.jpg  39484     22.1    20.8    96      87      1       0       10      4       81      
day2_silver_0276.jpg  39848     23.2    21.9    104     84      3       0       10      4       78      
day2_silver_0277.jpg  39897     21.7    20.4    106     85      3       0       9       4       80      
day2_silver_0278.jpg  39738     22.8    21.6    102     84      1       0       11      3       79      
day2_silver_0279.jpg  39622     23.2    22.0    99      86      1       0       11      3       80      
day2_silver_0280.jpg  39490     22.0    20.7    98      86      0       0       10      3       81      
day2_silver_0281.jpg  39662     22.7    21.4    104     84      0       0       10      3       78      
day2_silver_0282.jpg  39395     21.9    20.7    96      86      0       0       10      3       79      
day2_silver_0283.jpg  39696     22.8    21.5    100     88      1       0       10      3       78      
day2_silver_0284.jpg  39306     22.9    21.6    107     86      1       0       10      3       79      
day2_silver_0285.jpg  39349     22.9    21.6    107     86      0       0       10      3       79      
day2_silver_0286.jpg  39349     22.9    21.6    107     86      0       0       10      3       79      
day2_silver_0287.jpg  39364     22.9    21.6    107     86      0       0       10      3       79      
day2_silver_0288.jpg  39504     22.9    21.6    102     83      1       0       9       3       79      
day2_silver_0289.jpg  39851     23.3    22.0    105     83      2       0       10      3       79      
day2_silver_0290.jpg  39716     22.8    21.6    100     82      2       0       10      3       79      
day2_silver_0291.jpg  39745     22.1    20.8    106     84      2       0       10      3       80      
day2_silver_0292.jpg  39323     22.7    21.4    106     82      2       0       9       3       79      
day2_silver_0293.jpg  39670     22.0    20.6    107     84      2       0       9       3       80      
day2_silver_0294.jpg  39590     23.3    22.0    97      81      2       0       9       3       81      
day2_silver_0295.jpg  41210     22.9    21.4    114     134     2       0       2       3       78      
day2_silver_0296.jpg  40690     23.0    21.5    120     134     3       0       2       3       78      
day2_silver_0297.jpg  40716     23.0    21.4    124     133     3       0       2       3       79      
day2_silver_0298.jpg  40613     22.9    21.3    121     133     3       0       2       3       79      
day2_silver_0299.jpg  40658     24.4    22.8    121     131     3       0       2       3       79      
day2_silver_0300.jpg  40951     23.0    21.4    119     134     3       0       2       3       78      
day2_silver_0301.jpg  41183     22.9    21.4    119     134     3       0       8       3       78      
day2_silver_0302.jpg  40647     23.0    21.5    120     135     2       0       3       4       79      
day2_silver_0303.jpg  41332     22.7    21.2    116     135     2       0       3       4       79      
day2_silver_0304.jpg  40953     23.9    22.3    115     127     2       0       3       4       78      
day2_silver_0305.jpg  40798     23.4    21.9    119     133     2       0       3       4       78      
day2_silver_0306.jpg  41027     24.2    22.7    117     129     3       0       3       4       79      
day2_silver_0307.jpg  39822     22.4    21.0    62      91      4       0       4       4       79      
day2_silver_0308.jpg  40047     23.1    21.7    113     88      4       0       29      3       78      
day2_silver_0309.jpg  39874     23.1    21.7    114     86      2       0       29      3       78      
day2_silver_0310.jpg  39944     22.9    21.5    119     89      2       0       29      3       80      
day2_silver_0311.jpg  39603     22.0    20.7    115     87      2       0       30      3       81      
day2_silver_0312.jpg  39881     23.4    22.0    115     88      2       0       30      3       80      
day2_silver_0313.jpg  39733     22.6    21.3    113     87      1       0       27      3       78      
day2_silver_0314.jpg  39696     22.3    20.9    114     87      1       0       25      3       79      
day2_silver_0315.jpg  39595     22.3    20.9    118     86      1       0       25      3       79      
day2_silver_0316.jpg  39818     22.2    20.8    111     88      3       0       28      3       79      
day2_silver_0317.jpg  39828     21.9    20.6    113     88      1       0       28      3       79      
day2_silver_0318.jpg  39876     23.0    21.6    128     90      3       0       24      4       77      
day2_silver_0319.jpg  39989     22.0    20.6    130     88      3       0       23      4       78      
day2_silver_0320.jpg  39949     21.9    20.5    132     91      3       0       23      4       77      
day2_silver_0321.jpg  39665     22.3    20.9    133     93      3       0       22      4       78      
day2_silver_0322.jpg  39929     21.9    20.5    127     92      2       0       22      4       77      
day2_silver_0323.jpg  39916     21.9    20.5    127     91      2       0       22      4       77      
day2_silver_0324.jpg  39832     22.5    21.2    137     93      2       0       23      4       78      
day2_silver_0325.jpg  39862     22.1    20.7    141     93      3       0       23      4       78      
day2_silver_0326.jpg  39915     22.1    20.6    135     92      3       0       24      4       78      
day2_silver_0327.jpg  39807     22.3    20.8    138     93      4       0       23      4       79      
day2_silver_0328.jpg  39897     22.3    20.8    136     90      4       0       23      4       78      
day2_silver_0329.jpg  40043     22.3    20.8    132     89      4       0       26      4       77      
day2_silver_0330.jpg  39898     22.1    20.7    128     91      2       0       26      4       77      
day2_silver_0331.jpg  39935     21.8    20.4    127     91      2       0       26      4       77      
day2_silver_0332.jpg  39893     23.3    21.9    127     87      2       0       25      4       80      
day2_silver_0333.jpg  39477     22.1    20.8    117     92      2       0       20      4       70      
day2_silver_0334.jpg  39795     22.2    20.8    127     92      2       0       23      4       79      
day2_silver_0335.jpg  39885     22.1    20.7    121     90      2       0       23      4       78      
day2_silver_0336.jpg  39946     23.4    22.0    119     91      2       0       23      4       77      
day2_silver_0337.jpg  39882     22.1    20.7    119     89      1       0       23      4       80      
day2_silver_0338.jpg  40008     22.0    20.6    124     91      1       0       23      4       81      
day2_silver_0339.jpg  40367     21.9    20.4    124     89      3       0       26      4       79      
day2_silver_0340.jpg  40074     21.8    20.4    119     88      3       0       24      4       81      
day2_silver_0341.jpg  39534     23.1    21.6    116     88      3       0       24      4       80      
day2_silver_0342.jpg  39766     22.2    20.8    110     89      3       0       24      4       81      
day2_silver_0343.jpg  39894     22.1    20.7    116     89      3       0       26      4       80      
day2_silver_0344.jpg  40213     23.2    21.8    120     87      3       0       26      4       79      
day2_silver_0345.jpg  40024     22.0    20.5    124     87      3       0       27      4       79      
day2_silver_0346.jpg  39808     22.4    20.9    118     89      3       0       27      4       79      
day2_silver_0347.jpg  39512     23.1    21.7    117     88      1       0       27      4       80      
day2_silver_0348.jpg  39927     21.9    20.5    130     89      2       0       23      2       79      
day2_silver_0349.jpg  39894     21.9    20.5    129     90      2       0       23      2       79      
day2_silver_0350.jpg  39338     23.1    21.7    126     90      2       0       23      2       80      
day2_silver_0351.jpg  40129     22.2    20.8    127     89      2       0       25      2       79      
day2_silver_0352.jpg  39787     22.2    20.8    130     90      2       0       25      2       79      
day2_silver_0353.jpg  39935     22.2    20.8    129     90      2       0       24      2       77      
